epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8541,1.66872,3.7233,1.4895,0.00256,1,0.6208,0.46219,0.74945,3.43274,0.9839,0.0025,0.0025,0.0025
2,24.0956,1.4697,2.31356,1.34995,0.00422,1,0.71787,0.42193,1.20877,3.28335,1.35159,0.00509495,0.00509495,0.00509495
3,32.4169,1.40131,1.95026,1.30236,0.00392,1,0.43366,0.18099,2.00863,4.01828,2.12731,0.00768475,0.00768475,0.00768475
4,39.7382,1.42265,1.84008,1.33646,0.59234,0.09091,0.21933,0.11897,2.52196,3.88527,3.55632,0.0099703,0.0099703,0.0099703
5,47.113,1.53226,1.97225,1.39321,0.63206,0.62559,0.61667,0.25899,1.75217,2.88516,2.0808,0.0099604,0.0099604,0.0099604
6,55.4339,1.58031,1.87796,1.44808,0.23708,0.27273,0.22681,0.13252,2.14583,3.93728,2.31638,0.0099505,0.0099505,0.0099505
7,64.0077,1.6076,1.86508,1.47878,0.66243,0.36364,0.38549,0.25769,1.49094,3.0369,1.56229,0.0099406,0.0099406,0.0099406
8,71.5489,1.56857,1.69415,1.41429,0.64492,0.36364,0.31197,0.19148,1.58498,2.69869,1.80698,0.0099307,0.0099307,0.0099307
9,78.8609,1.50155,1.58798,1.39568,0.46245,0.18182,0.23078,0.10203,1.59552,2.74667,1.96926,0.0099208,0.0099208,0.0099208
10,86.296,1.52798,1.58982,1.42997,0.27944,0.27273,0.16921,0.10419,1.98391,2.71432,2.12367,0.0099109,0.0099109,0.0099109
11,93.9258,1.54629,1.63421,1.46338,0.71531,0.72727,0.71395,0.42193,1.42279,2.0103,1.57393,0.009901,0.009901,0.009901
12,101.05,1.5383,1.56859,1.42259,0.69812,0.72727,0.75036,0.37297,1.56285,1.82286,1.69393,0.0098911,0.0098911,0.0098911
13,108.15,1.51021,1.49288,1.41214,0.1608,0.45455,0.15455,0.0779,1.85597,2.36453,2.27358,0.0098812,0.0098812,0.0098812
14,115.432,1.46137,1.43469,1.37222,0.59601,0.54545,0.48178,0.29197,1.45093,2.3893,1.85993,0.0098713,0.0098713,0.0098713
15,122.902,1.48962,1.3918,1.36887,0.97865,0.63636,0.81573,0.54485,1.19514,1.40577,1.76002,0.0098614,0.0098614,0.0098614
16,130.073,1.49135,1.41729,1.40883,0.71614,0.90909,0.88135,0.4601,1.38051,1.53951,1.63867,0.0098515,0.0098515,0.0098515
17,137.518,1.47133,1.43789,1.3892,0.79142,0.81818,0.83826,0.57166,1.22576,1.53737,1.48718,0.0098416,0.0098416,0.0098416
18,144.82,1.49902,1.40227,1.43214,0.70787,0.36364,0.39534,0.20622,1.91677,2.88964,2.1454,0.0098317,0.0098317,0.0098317
19,151.957,1.41874,1.36962,1.35019,0.69432,0.36364,0.52488,0.32983,1.7359,1.7746,2.05536,0.0098218,0.0098218,0.0098218
20,159.15,1.4125,1.30014,1.34275,0.89872,0.80774,0.85155,0.63681,1.0382,1.15895,1.33612,0.0098119,0.0098119,0.0098119
21,166.292,1.40312,1.2928,1.35238,0.98873,0.72727,0.91181,0.54387,1.38004,1.47069,1.70661,0.009802,0.009802,0.009802
22,173.452,1.42239,1.30821,1.36498,0.98054,0.72727,0.84548,0.62683,1.26743,1.31559,1.49062,0.0097921,0.0097921,0.0097921
23,180.878,1.40042,1.33823,1.36056,0.88775,0.81818,0.8675,0.6079,1.04726,1.21617,1.30243,0.0097822,0.0097822,0.0097822
24,188.09,1.37263,1.22958,1.32681,0.81028,0.81818,0.84467,0.65121,1.04518,1.12762,1.25807,0.0097723,0.0097723,0.0097723
25,195.285,1.33368,1.1752,1.30989,0.89466,0.81818,0.893,0.55799,1.16206,1.22337,1.31944,0.0097624,0.0097624,0.0097624
26,202.505,1.35813,1.22043,1.31136,0.86192,0.81818,0.91052,0.6771,1.02282,0.99708,1.31579,0.0097525,0.0097525,0.0097525
27,209.807,1.35459,1.24679,1.31792,0.73511,0.90909,0.89387,0.6519,1.10866,1.06617,1.31531,0.0097426,0.0097426,0.0097426
28,216.984,1.35502,1.22938,1.33001,0.86761,0.90909,0.92989,0.5967,1.20064,1.02388,1.47304,0.0097327,0.0097327,0.0097327
29,224.175,1.31282,1.15068,1.28428,1,0.8113,0.90425,0.6778,1.03099,1.0456,1.28317,0.0097228,0.0097228,0.0097228
30,231.326,1.31866,1.10942,1.31053,0.84764,0.63636,0.78557,0.47351,1.48179,1.2699,1.66493,0.0097129,0.0097129,0.0097129
31,238.485,1.31286,1.17913,1.29246,0.9803,0.72727,0.83311,0.61576,1.43363,1.06889,1.74061,0.009703,0.009703,0.009703
32,245.746,1.28811,1.13055,1.28406,0.9635,0.72727,0.89971,0.63736,1.17579,0.99469,1.44249,0.0096931,0.0096931,0.0096931
33,253.115,1.31116,1.08398,1.27813,0.76811,1,0.95171,0.61858,1.21105,0.85541,1.45927,0.0096832,0.0096832,0.0096832
34,260.306,1.34261,1.14134,1.3095,1,0.90245,0.97571,0.73436,0.92032,1.06221,1.20407,0.0096733,0.0096733,0.0096733
35,267.483,1.32806,1.10065,1.30017,0.95035,0.90909,0.97571,0.66929,1.07267,0.87459,1.32529,0.0096634,0.0096634,0.0096634
36,274.626,1.3002,1.12725,1.301,0.89297,0.90909,0.95117,0.67246,0.95355,1.03374,1.26925,0.0096535,0.0096535,0.0096535
37,281.885,1.31582,1.1244,1.2937,0.77519,1,0.90661,0.65511,1.07367,1.27985,1.29281,0.0096436,0.0096436,0.0096436
38,289.095,1.26126,1.07994,1.27055,0.79596,0.90909,0.931,0.64756,1.14177,0.99524,1.36645,0.0096337,0.0096337,0.0096337
